Year,OSHPD ID,Admission_Type,Count
2009,310791,Unknown,1
2009,311000,Scheduled,3870
2009,311000,Unscheduled,12078
2009,311000,"Infant, under 24 hrs old",3024
2009,314029,Unscheduled,660
2009,320859,Scheduled,143
2009,320859,Unscheduled,404
2009,320859,Unknown,5
2009,320986,Scheduled,104
2009,320986,Unscheduled,403
2009,320986,"Infant, under 24 hrs old",83
2009,321016,Scheduled,29
2009,321016,Unscheduled,184
2009,321016,Unknown,16
2009,330120,Scheduled,1041
2009,331152,Scheduled,1592
2009,331152,Unscheduled,7545
2009,331152,"Infant, under 24 hrs old",1768
2009,331152,Unknown,186
2009,331164,Scheduled,2230
2009,331164,Unscheduled,15443
2009,331164,"Infant, under 24 hrs old",3431
2009,331168,Scheduled,4784
2009,331168,Unscheduled,13535
2009,331194,Scheduled,1815
2009,331194,Unscheduled,10262
2009,331194,"Infant, under 24 hrs old",1018
2009,331194,Unknown,5
2009,331216,Scheduled,1384
2009,331216,Unscheduled,7602
2009,331216,"Infant, under 24 hrs old",2854
2009,331226,Unscheduled,937
2009,331288,Scheduled,140
2009,331288,Unscheduled,1411
2009,331288,"Infant, under 24 hrs old",166
2009,331293,Scheduled,2940
2009,331293,Unscheduled,5427
2009,331293,"Infant, under 24 hrs old",2047
2009,331293,Unknown,1
2009,331312,Scheduled,4637
2009,331312,Unscheduled,14513
2009,331312,"Infant, under 24 hrs old",3543
2009,331312,Unknown,2
2009,331326,Scheduled,241
2009,331326,Unscheduled,3820
2009,331326,"Infant, under 24 hrs old",262
2009,332172,Scheduled,380
2009,334018,Scheduled,194
2009,334018,Unscheduled,3917
2009,334018,Unknown,2
2009,334025,Scheduled,3249
2009,334025,Unscheduled,12441
2009,334025,"Infant, under 24 hrs old",3555
2009,334025,Unknown,7
2009,334048,Scheduled,788
2009,334048,Unscheduled,4680
2009,334048,"Infant, under 24 hrs old",1436
2009,334048,Unknown,6
2009,334068,Scheduled,1784
2009,334068,Unscheduled,17082
2009,334068,"Infant, under 24 hrs old",4097
2009,334068,Unknown,18
2009,334457,Unscheduled,732
2009,334487,Scheduled,1351
2009,334487,Unscheduled,19236
2009,334487,"Infant, under 24 hrs old",2631
2009,340913,Scheduled,6821
2009,340913,Unscheduled,24206
2009,340913,"Infant, under 24 hrs old",4924
2009,340913,Unknown,4
2009,340947,Scheduled,6557
2009,340947,Unscheduled,11937
2009,340947,"Infant, under 24 hrs old",2783
2009,340947,Unknown,9
2009,340950,Scheduled,3123
2009,340950,Unscheduled,14634
2009,340950,"Infant, under 24 hrs old",2841
2009,340950,Unknown,16
2009,340951,Scheduled,2012
2009,340951,Unscheduled,7004
2009,340951,"Infant, under 24 hrs old",1153
2009,340951,Unknown,2
2009,341006,Scheduled,6486
2009,341006,Unscheduled,21792
2009,341006,"Infant, under 24 hrs old",2383
2009,341006,Unknown,8
2009,341051,Scheduled,4895
2009,341051,Unscheduled,7446
2009,341051,Unknown,1
2009,341052,Scheduled,4634
2009,341052,Unscheduled,12272
2009,341052,"Infant, under 24 hrs old",5563
2009,341052,Unknown,2
2009,342344,Scheduled,2050
2009,342344,Unscheduled,9587
2009,342344,"Infant, under 24 hrs old",2459
2009,342344,Unknown,2
2009,342392,Scheduled,4
2009,342392,Unscheduled,3212
2009,344011,Unscheduled,1737
2009,344011,Unknown,5
2009,344017,Unscheduled,2344
2009,344021,Unscheduled,2689
2009,344029,Scheduled,886
2009,344029,Unscheduled,3836
2009,344029,"Infant, under 24 hrs old",902
2009,344029,Unknown,1
2009,344035,Scheduled,313
2009,344035,Unknown,1
2009,344114,Scheduled,915
2009,344114,Unscheduled,301
2009,350784,Scheduled,804
2009,350784,Unscheduled,1875
2009,350784,"Infant, under 24 hrs old",443
2009,350784,Unknown,1
2009,361105,Scheduled,231
2009,361105,Unscheduled,2306
2009,361105,"Infant, under 24 hrs old",316
2009,361110,Scheduled,12
2009,361110,Unscheduled,408
2009,361144,Scheduled,41
2009,361144,Unscheduled,6265
2009,361166,Scheduled,618
2009,361166,Unscheduled,3943
2009,361166,"Infant, under 24 hrs old",1106
2009,361223,Scheduled,3451
2009,361223,Unscheduled,23203
2009,361223,"Infant, under 24 hrs old",3889
2009,361223,Unknown,1
2009,361246,Scheduled,11505
2009,361246,Unscheduled,18822
2009,361246,"Infant, under 24 hrs old",2720
2009,361266,Scheduled,103
